id,longitude,latitude,license
2331,116.422375,40.015388,京Q3W0K8
2551,116.419912,39.98678,京Q11BY5
2370,116.475999,39.909395,京YDP526
2599,116.474141,39.95333,京Q83CJ5
2637,116.613096,39.92603,京EH2783
2538,116.441277,39.94322,京PT7P17
2578,116.29871,40.085165,京Q52895
2464,116.413802,40.113337,京Q52895
2242,116.229563,40.215036,京Q8L6D5
2639,116.188331,39.838777,京Q08DB2
2643,116.019268,39.681508,京Q08DB2
2472,116.471759,39.978639,京YDP337
2382,116.454891,39.874237,京PT6P79
2315,116.406335,39.860561,京YDP526
2278,116.614885,40.139425,京PM7913
2457,116.498272,40.180627,京Q89AF2
2529,116.593395,40.212179,京P89A81
2298,116.542482,40.087195,京Q89AF2
2600,116.433833,39.870136,京YDP526
2330,116.54967,40.155223,京Q89AF2
2548,116.537697,40.092978,京P89A81
2480,116.538022,40.088008,京P89A81
2428,116.561135,40.069319,京PM7913
2295,116.553529,40.060874,京PM7913
2374,116.537756,40.120517,京Q89AF2
2372,116.545732,40.10793,京Q89AF2
2285,116.516606,40.076019,京P89A81
2645,116.53758,40.070721,京P89A81
2531,116.551546,40.102492,京P89A81
2365,116.443386,39.861521,京PT6P93
2310,116.550922,40.10433,京Q89AF2
2549,116.618642,40.175305,京PM7913
2588,116.337419,40.031798,京P786G8
2232,116.423516,40.040808,京QV56W0
2445,116.094292,39.940129,京PT6P83
2287,116.662484,39.890247,京PAZ819
2429,116.649419,39.914094,京Q78AF6
2266,116.641615,39.935158,京PQ2Q83
2646,116.681367,39.86646,京Q78AF6
2659,116.69007,39.863017,京PAZ819
2238,116.422974,39.866568,京PT6P93
2332,116.629969,39.903342,京Q78AF6
2635,116.656435,39.909946,京Q78AF6
2395,116.6375,39.886054,京Q78AF6
2535,116.637556,39.889704,京PAZ819
2424,116.722343,39.956735,京PQ2Q83
2573,116.613089,39.803244,京PT6P93
2647,116.667913,39.883324,京Q78AF6
2648,116.682363,39.903808,京PAZ819
2652,116.471458,39.945946,京Q83CJ5
2490,116.382317,39.961514,京QU2B19
2416,116.364583,39.861924,京Q11BY1
2569,116.358882,39.918174,京PT7P11
2509,116.387356,39.971645,京PCX880
2561,116.329538,39.882323,京PT7P09
2582,116.366278,39.922669,京PT7P11
2263,116.355919,39.89525,京PT7P09
2257,116.35036,39.914807,京PT7P11
2511,116.374952,39.937714,京PT7P11
2234,116.379747,39.938804,京PT7P11
2473,116.377317,39.961055,京QU2B19
2432,116.379066,39.960028,京QU2B19
2567,116.414042,39.939175,京Q10BY6
2619,116.427408,39.945222,京Q10BY6
2483,116.33614,39.892319,京PT7P09
2447,116.367681,39.880641,京PT7P09
2269,116.35224,39.926197,京PT7P11
2553,116.382769,39.97042,京PCX880
2517,116.391874,39.953361,京Q67HJ2
2620,116.369044,39.901542,京PT7P09
2354,116.371654,39.955016,京EB0631
2292,116.444717,39.968384,京Q80JS6
2335,116.300817,39.915055,京PT6P83
2587,116.243826,39.916659,京PT6P83
2543,116.401552,39.92794,京YDP385
2405,116.246859,39.915403,京PT6P83
2404,116.193673,39.922323,京PT6P83
2373,116.128227,39.953911,京PT6P83
2411,116.202137,39.908819,京PT6P83
2503,116.500946,39.88061,京Q93CJ1
2571,116.337077,39.977951,京PCX882
2277,116.778911,39.958389,京PQ2Q83
2327,116.87266,40.002149,京PAZ819
2502,116.794085,39.965459,京PAZ819
2259,116.781283,39.954408,京PQ2Q83
2255,116.429137,39.942054,京Q10BY6
2662,116.7873,39.95859,京PAZ819
2280,116.776209,39.97227,京PQ2Q83
2606,116.65948,39.941418,京PQ2Q83
2506,116.348183,39.943894,京EB0631
2412,116.349059,39.947296,京Q10BY8
2385,116.284484,40.00708,京Q92CJ1
2540,116.375102,39.974386,京PCX880
2272,116.375979,39.973844,京PCX880
2663,116.323899,39.938037,京EB0631
2478,116.272876,39.99243,京Q92CJ1
2384,116.420112,39.95022,京PCX886
2481,116.261101,40.087296,京Q81AF6
2564,116.286556,39.928314,京PT7P08
2518,116.322972,40.058763,京Q92CJ9
2491,116.347931,40.054554,京P786G8
2636,116.361584,40.065042,京QV56W0
2357,116.307045,39.980316,京Q92CJ1
2322,116.14327,40.080879,京Q81AF6
2654,116.158066,40.079784,京Q81AF6
2468,116.367381,39.983771,京PCX880
2323,116.303077,39.914888,京PT6P83
2592,116.556571,39.845326,京PP5703
2467,116.3125,39.942975,京Q92CJ1
2465,116.351701,39.975536,京PCX882
2497,116.374088,39.977141,京AC3485
2246,116.352806,40.006497,京Q92CJ1
2299,116.335609,40.035297,京Q92CJ9
2462,116.299148,40.028855,京Q81AF6
2296,116.35978,39.953583,京EB0631
2574,116.367595,39.952326,京EB0631
2339,116.316166,40.043268,京Q8F8U0
2560,116.432736,39.920948,京YDP385
2268,116.3756,39.9891,京Q92CJ9
2613,116.377158,40.032173,京P786G8
2258,116.332418,40.045389,京Q92CJ9
2386,116.364859,39.956061,京YDP391
2378,116.345139,39.966612,京PCX882
2657,116.235349,40.084177,京Q81AF6
2329,116.333289,39.954505,京Q10BY8
2400,116.330328,39.973466,京PCX882
2240,116.302601,39.935005,京Q92CJ1
2337,116.283162,39.968088,京PCX882
2451,116.325138,39.977937,京QU2B19
2325,116.351191,39.967114,京Q10BY8
2434,116.216181,40.036003,京Q81AF6
2344,116.293618,39.939565,京PT7P08
2537,116.280231,39.926923,京PT7P08
2530,116.343499,40.016538,京PCX882
2444,116.375792,39.988743,京Q92CJ9
2397,116.286198,39.940692,京PT7P08
2426,116.333442,39.989357,京Q92CJ1
2479,116.325356,39.977489,京PCX882
2624,116.326734,39.979628,京PCX882
2294,116.308449,40.037573,京Q92CJ9
2463,116.327327,39.980546,京PCX882
2262,116.317543,39.961904,京Q92CJ1
2326,116.295952,40.052233,京Q81AF6
2632,116.303276,40.035542,京Q92CJ9
2632,116.303276,40.035542,京Q52895
2367,116.380509,40.06236,京P786G8
2554,116.334299,39.979976,京PCX882
2664,116.289285,39.962072,京YDP391
2438,116.365321,39.861103,京YDP526
2393,116.654651,40.130347,京P89A81
2308,116.547158,39.959326,京P81J15
2235,116.539593,39.903805,京PVK855
2360,116.540486,39.910927,京PVK855
2589,116.426868,39.986087,京Q11BY5
2593,116.505328,39.978698,京Q11BY1
2570,116.448908,39.955205,京PT6P91
2568,116.523812,40.031975,京QV56W0
2420,116.593786,40.043527,京PM7913
2474,116.446311,39.957267,京PT6P91
2614,116.148629,39.864337,京Q08DB2
2362,116.450057,39.960028,京PT6P91
2345,116.51266,39.93485,京QKW156
2279,116.510623,39.933363,京QKW156
2261,116.460655,39.96091,京Q80JS6
2419,116.480971,39.989616,京Q92CJ7
2622,116.496661,39.910091,京Q10BY3
2305,116.470066,39.916911,京Q10BY3
2417,116.490395,39.966369,京PP5725
2406,116.491939,39.956418,京Q11BY1
2514,116.492495,39.958171,京Q11BY1
2289,116.427733,39.838176,京PT6P93
2363,116.436344,39.890808,京PT6P79
2421,116.494778,39.990948,京Q90CJ5
2352,116.495262,39.985468,京Q11BY1
2492,116.501577,39.910495,京PVK855
2557,116.438783,39.960908,京PT6P91
2494,116.442548,39.971812,京Q80JS6
2316,116.445445,39.968409,京AC3491
2243,116.451234,39.966995,京AC3491
2414,116.432214,39.988034,京Q11BY5
2283,116.43514,39.98844,京Q3W0K8
2248,116.433389,39.980879,京Q3W0K8
2466,116.291756,39.867262,京Q08DB2
2317,116.433516,39.980815,京PCX886
2390,116.481178,39.921944,京Q83CJ5
2528,116.499462,39.874351,京Q93CJ1
2281,116.610996,39.909643,京EH2783
2381,116.43104,39.954401,京PT6P91
2273,116.486329,39.898462,京Q92CJ0
2605,116.484584,39.899269,京Q92CJ0
2236,116.557307,39.871251,京Q11BY1
2333,116.486074,39.923182,京Q83CJ5
2610,116.515108,39.924324,京QKW156
2651,116.437287,39.869731,京YDP526
2498,116.452906,39.991791,京Q93CJ8
2476,116.438508,40.050264,京Q52895
2430,116.448662,39.904236,京Q10BY3
2558,116.377501,40.008815,京Q92CJ9
2577,116.380578,40.008685,京Q92CJ9
2533,116.439469,40.054826,京QV56W0
2532,116.454793,39.917817,京Q92CJ6
2495,116.456643,39.919063,京Q92CJ6
2555,116.454368,39.918978,京Q92CJ6
2555,116.454368,39.918978,京Q92CJ6
2307,116.229085,39.877889,京Q08DB2
2515,116.607192,39.914136,京Q8V1W9
2633,116.511177,39.92609,京QKW156
2377,116.520445,39.924173,京Q92CJ3
2282,116.512606,39.924032,京QKW156
2286,116.47346,39.94841,京Q83CJ5
2459,116.45519,39.917817,京Q92CJ6
2508,116.478297,39.99803,京YDP337
2247,116.482814,39.990976,京YDP337
2521,116.463897,39.978589,京Q90CJ5
2361,116.482461,39.986824,京Q90CJ5
2260,116.429902,39.837045,京PT6P93
2454,116.461936,39.99575,京Q92CJ7
2641,116.464991,39.993851,京Q93CJ8
2256,116.460592,39.997694,京Q93CJ8
2598,116.461344,40.00151,京Q93CJ8
2254,116.460921,40.012819,京Q92CJ7
2522,116.475881,39.983198,京Q90CJ5
2522,116.475881,39.983198,京Q92CJ7
2471,116.466554,39.995147,京Q92CJ7
2407,116.464966,40.007184,京Q93CJ8
2623,116.488543,39.998563,京Q90CJ5
2380,116.368326,39.836494,京PT7P09
2284,116.454632,39.949683,京Q10BY6
2572,116.450793,39.940585,京PP5889
2594,116.447489,39.845009,京PT6P93
2602,116.401843,39.998054,京Q11BY5
2358,116.423771,39.981982,京PCX886
2453,116.415847,39.987174,京PCX886
2233,116.450041,39.904837,京Q92CJ0
2320,116.438605,39.905401,京PP5889
2484,116.475171,39.907598,京Q92CJ6
2650,116.443366,39.906855,京Q10BY3
2461,116.379225,39.835571,京PT7P09
2621,116.479461,39.984798,京Q90CJ5
2579,116.446877,39.93654,京PT7P17
2276,116.445941,39.936247,京PT7P17
2334,116.5213,39.935583,京Q92CJ3
2439,116.601875,39.925325,京P58T73
2450,116.488949,39.968691,京Q90CJ5
2388,116.555372,39.922029,京Q8V1W9
2634,116.555268,39.919463,京Q8V1W9
2660,116.406119,39.973517,京PCX886
2612,116.409346,39.986445,京PCX886
2433,116.395752,39.95515,京QU2B19
2440,116.413517,39.986414,京PP5889
2436,116.408479,39.998348,京Q11BY5
2504,116.409347,40.00109,京Q11BY5
2618,116.495957,39.935342,京Q80JS6
2544,116.520936,39.941697,京Q11BY1
2396,116.449331,39.972314,京AC3491
2512,116.563328,39.852344,京Q93CJ1
2321,116.414997,40.039283,京QV56W0
2458,116.543718,39.845761,京Q93CJ1
2249,116.498959,39.992026,京Q11BY1
2435,116.424891,39.87485,京YDP526
2611,116.48529,39.981756,京Q11BY1
2324,116.413352,40.005126,京Q3W0K8
2516,116.453805,39.97085,京AC3491
2399,116.508575,39.866188,京Q92CJ0
2545,116.505224,39.856407,京Q93CJ1
2251,116.528631,39.857644,京Q93CJ1
2241,116.496209,39.909569,京PVK855
2341,116.514064,39.905831,京AC3485
2580,116.469084,39.972117,京PP5703
2353,116.42723,40.001585,京Q3W0K8
2560,116.432736,39.920948,京YDP385
2524,116.431059,39.967962,京PCX886
2591,116.479373,39.86918,京Q92CJ0
2583,116.617726,39.879238,京Q8V1W9
2274,116.470027,39.891968,京Q92CJ0
2288,116.472683,39.895968,京PT6P79
2291,116.462385,40.002417,京Q93CJ8
2402,116.468037,40.009113,京Q92CJ7
2383,116.458894,39.870067,京PT6P79
2661,116.386901,39.98039,京PCX880
2271,116.411163,39.920636,京YDP385
2427,116.455616,39.93575,京YDP385
2630,116.507463,39.912495,京AC3485
2303,116.504726,39.923694,京Q92CJ3
2364,116.508529,39.918039,京PVK855
2443,116.476394,39.855699,京PP5703
2519,116.424672,40.041153,京Q2R9N9
2559,116.423016,40.025616,京QV56W0
2359,116.43379,39.98969,京Q3W0K8
2590,116.434877,39.992441,京Q11BY5
2311,116.561547,39.912421,京Q8V1W9
2640,116.615177,39.928724,京EH2783
2510,116.44292,39.887777,京PT6P79
2649,116.413943,39.966009,京PCX886
2475,116.515488,39.860204,京Q93CJ1
2441,116.446946,39.880691,京PT6P79
2418,116.469263,40.013658,京PP5725
2539,116.471,39.9361,京PP5889
2252,116.490413,39.918534,京Q80JS6
2237,116.496877,39.930757,京Q92CJ3
2604,116.49798,39.929041,京Q92CJ3
2507,116.499225,39.929442,京Q92CJ3
2615,116.499294,39.915462,京PP5889
2565,116.443164,39.884818,京PT6P79
2408,116.434398,39.964872,京PT6P91
2581,116.474063,39.913452,京Q92CJ6
2448,116.47086,39.920558,京Q83CJ5
2496,116.467048,39.951654,京Q83CJ5
2541,116.477087,39.954867,京Q83CJ5
2655,116.45138,39.949329,京PT6P91
2304,116.403016,40.000249,京Q11BY5
2642,116.506409,39.977024,京Q90CJ5
2595,116.584476,39.919874,京Q6V9B1
2460,116.465018,39.894325,京Q92CJ0
2318,116.420138,39.923469,京Q10BY6
2290,116.548703,39.959982,京P58T73
2626,116.536608,39.962643,京P58T73
2290,116.548703,39.959982,京EH2783
2308,116.547158,39.959326,京P81J15
2308,116.547158,39.959326,京P81J15
2308,116.547158,39.959326,京P81J15
2425,116.556885,39.965519,京Q92CJ0
2638,116.535634,39.967639,京P58T73
2413,116.491248,39.913733,京AC3485
2349,116.426038,39.918502,京Q10BY6
2264,116.489446,39.913539,京AC3485
2628,116.488543,39.917659,京P81J15
2253,116.460733,39.929643,京PT6P91
2499,116.43193,39.988101,京Q11BY5
2348,116.566141,39.921663,京Q8V1W9
2487,116.567329,39.913584,京P58T73
2556,116.454172,39.934647,京PT7P17
2351,116.458948,39.954065,京PT6P91
2546,116.454054,39.956237,京PT6P91
2607,116.452045,39.961672,京Q92CJ1
2470,116.415757,39.897788,京YDP526
2562,116.443108,39.92147,京Q89AF2
2338,116.460256,39.900147,京PT6P79
2527,116.47336,39.93848,京Q83CJ5
2403,116.474449,39.999927,京PP5725
2552,116.4774,40.00154,京Q92CJ7
2584,116.455151,39.995808,京Q93CJ8
2500,116.461828,39.996546,京Q92CJ7
2239,116.305383,40.099392,京PT5P57
2616,116.366897,40.079607,京QV56W0
2603,116.236225,40.210023,京Q8L6D5
2342,116.436751,39.932727,京PT7P17
2485,116.220047,40.22834,京Q8L6D5
2505,116.279667,40.138917,京Q8F8U0
2608,116.396021,40.183676,京Q52895
2629,116.408617,40.069606,京QV56W0
2493,116.40687,40.072,京Q2R9N9
2300,116.43316,40.075279,京Q2R9N9
2401,116.415469,40.067669,京Q2R9N9
2314,116.424287,40.072391,京Q52895
2627,116.439412,40.06546,京Q52895
2301,116.349062,40.077906,京Q8F8U0
2319,116.405927,39.946352,京PP5889
2387,116.356955,40.072244,京Q8F8U0
2513,116.334668,40.081147,京Q8F8U0
2488,116.320344,40.079191,京PT5P57
2422,116.318607,40.077073,京Q8L6D5
2369,116.360764,40.082265,京Q8F8U0
2245,116.281082,40.205876,京Q8L6D5
2644,116.238984,40.209493,京Q8L6D5
2563,116.128369,40.231922,京Q8L6D5
2415,116.438377,40.088576,京Q2R9N9
2501,116.4263,40.206686,京Q52895
2482,116.408238,39.961279,京PCX886
2340,116.476294,40.244303,京Q2R9N9
2394,116.389046,40.071062,京Q2R9N9
2347,116.365885,39.945104,京PT7P11
2336,116.464991,39.86937,京Q92CJ0
2368,116.547577,39.785583,京PT6P93
2409,116.444371,39.927267,京PT7P17
2653,116.550185,39.94662,京P81J15
2267,116.440805,39.98269,京AC3491
2486,116.377892,39.91187,京PT7P11
2350,116.429387,40.076534,京Q2R9N9
2442,116.414436,39.95902,京PCX886
2547,116.330059,39.766326,京PT7P09
2625,116.45675,39.73825,京Q92CJ7
2398,116.371727,39.741046,京PT6P93
2371,116.407526,39.90403,京Q10BY8
2423,116.338985,40.084816,京Q8F8U0
2585,116.457358,39.977951,京AC3491
2346,116.571787,40.042049,京PM7913
2372,116.545732,40.10793,京PM7913
2297,116.564692,39.763266,京PP5703
2391,116.670793,40.00809,京Q78AF6
2410,116.438031,39.939736,京PT7P17
2601,116.463605,39.899501,京PT6P79
